,training_time,test_time,n_train,n_test,score,feat_vect_length,error,error_msg,color_space,orient,pix_per_cell,cell_per_block,hog_channel,spatial_size,hist_bins,spatial_feat,hist_feat,hog_feat
65,20.907188892364502,8.678295135498047,10656,7104,0.983277027027,1616,False,,LUV,5,16,4,0,"(16, 16)",256,True,True,True
66,19.018832683563232,7.435766696929932,10656,7104,0.977308558559,1436,False,,LUV,5,16,4,1,"(14, 14)",256,True,True,True
67,19.42967677116394,8.000266313552856,10656,7104,0.978434684685,1523,False,,LUV,5,16,4,1,"(15, 15)",256,True,True,True
68,21.606253147125244,8.977932929992676,10656,7104,0.978800675676,1616,False,,LUV,5,16,4,1,"(16, 16)",256,True,True,True
69,22.948153972625732,8.43731689453125,10656,7104,0.972663288288,1436,False,,LUV,5,16,4,2,"(14, 14)",256,True,True,True
70,23.90859603881836,8.946137189865112,10656,7104,0.974915540541,1523,False,,LUV,5,16,4,2,"(15, 15)",256,True,True,True
71,26.215338706970215,9.934566020965576,10656,7104,0.974831081081,1616,False,,LUV,5,16,4,2,"(16, 16)",256,True,True,True
72,28.043067693710327,8.799694776535034,10656,7104,0.963907657658,1356,False,,LUV,5,16,5,0,"(14, 14)",256,True,True,True
73,28.248249530792236,9.78831696510315,10656,7104,0.965822072072,1443,False,,LUV,5,16,5,0,"(15, 15)",256,True,True,True
74,29.872394323349,10.574191093444824,10656,7104,0.964864864865,1536,False,,LUV,5,16,5,0,"(16, 16)",256,True,True,True
75,27.621673583984375,8.788682699203491,10656,7104,0.963907657658,1356,False,,LUV,5,16,5,1,"(14, 14)",256,True,True,True
76,28.721383571624756,9.794245481491089,10656,7104,0.965822072072,1443,False,,LUV,5,16,5,1,"(15, 15)",256,True,True,True
77,29.787572145462036,10.641435384750366,10656,7104,0.964864864865,1536,False,,LUV,5,16,5,1,"(16, 16)",256,True,True,True
78,27.97109603881836,8.81647801399231,10656,7104,0.963907657658,1356,False,,LUV,5,16,5,2,"(14, 14)",256,True,True,True
79,28.250550031661987,9.805268287658691,10656,7104,0.965822072072,1443,False,,LUV,5,16,5,2,"(15, 15)",256,True,True,True
